1,Problème d'alimentation électrique,Salle d'urgence sans électricité,Système électrique,2024-01-04 10:15:00
2,Fuite d'eau dans la salle d'attente,Problème de plomberie,Salle d'attente,2024-01-04 10:30:00
3,Panne de l'ascenseur dans le bâtiment B,Ascenseur hors service,Bâtiment B,2024-01-04 11:00:00
4,Incident informatique,Système de gestion des dossiers médicaux indisponible,Service informatique,2024-01-04 11:30:00
5,Problème de climatisation dans les bureaux administratifs,Température élevée,Bureaux administratifs,2024-01-04 12:00:00
6,Incident de sécurité dans le système de surveillance,Accès non autorisé,Système de surveillance,2024-01-04 12:30:00
7,Panne de la machine à café dans la cafétéria,Machine à café hors service,Cafétéria,2024-01-04 13:00:00
8,Déversement de produits chimiques dans le laboratoire,Liquide toxique répandu,Laboratoire,2024-01-04 13:30:00
9,Panne du générateur de secours,Alimentation de secours défaillante,Service électrique de secours,2024-01-04 14:00:00
10,Problème de connexion réseau dans la pharmacie,Pharmacie inaccessible,Réseau informatique,2024-01-04 14:30:00
11,Incident de sécurité dans le système de surveillance,Accès non autorisé,Système de surveillance,2024-01-04 15:00:00
12,Panne de l'ascenseur dans le bâtiment B,Ascenseur hors service,Bâtiment B,2024-01-04 15:30:00
13,Problème d'alimentation électrique,Salle d'urgence sans électricité,Système électrique,2024-01-04 16:00:00
14,Panne de l'ascenseur dans le bâtiment B,Ascenseur hors service,Bâtiment B,2024-01-04 16:30:00
15,Fuite d'eau dans la salle d'attente,Problème de plomberie,Salle d'attente,2024-01-04 17:00:00
